fuente,entidad,departamento,municipio,valor_inicial,valor_final,adiciones_dias,plazo_dias,sobrecosto_pct,retraso_pct,estado,objeto,url,contratista,fecha_inicio,fecha_fin,postconflicto,destino_gasto
SECOP I,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN VICENTE,Antioquia,San Vicente,677217243027,677217243027,25,138.0,0.0,18.115942028985508,Liquidado,MANTENIMIENTO Y MEJORAMIENTO DE ViAS RURALES EN EL MUNICIPIO DE SAN VICENTE; DEPARTAMENTO DE ANTIOQUIA DEL PROGRAMA COLOMBIA RURAL,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24130,AFA INGENIERIA Y CONSTRUCCION SAS,2021-09-06T00:00:00.000,2022-05-17T00:00:00.000,0,Inversión
SECOP II,INSTITUTO DE DESARROLLO URBANO,Distrito Capital de Bogotá,Bogotá,352803563800,0,0,,,,terminado,CONSTRUCCIÓN DE LAS ACERAS Y CICLORRUTA DE LAS CALLE 92 Y CALLE 94 DESDE LA CARRERA 7 HASTA LA AUTOPISTA NORTE Y OBRAS COMPLEMENTARIAS; EN BOGOTÁ; D.C.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1318520&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO VIAL IDU,2020-12-30T00:00:00.000,2023-08-14T00:00:00.000,0,Inversión
SECOP I,CAQUETÁ - ALCALDÍA MUNICIPIO DE EL PAUJIL,Caquetá,El Paujil,278937178000,278937178000,0,3.0,0.0,0.0,Liquidado,REPOSICION DE TRAMO DE CONDUCCION A PUNTO DE VERTIMIENTO DE ALCANTARILLADO EN EL CENTRO POBLADO VERSALLES DEL MUNICIPIO DE EL PAUJIL,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-11-13283110,CONSORCIO ALCANTARILLADO VERSALLES,2022-09-23T00:00:00.000,2022-12-23T00:00:00.000,0,Inversión
SECOP I,CAQUETÁ - ALCALDÍA MUNICIPIO DE EL PAUJIL,Caquetá,El Paujil,278067943000,278067943000,0,2.0,0.0,0.0,Liquidado,MEJORAMIENTO DE TRAMOS DE ALCANTARILLADO; CUNETAS PARA EL MANEJO DE AGUAS LLUVIAS EN EL CASCO URBANO DEL MUNICIPIO DE EL PAUJIL CAQUETA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-11-13310399,CONSORCIO ALCANTARILLADO EL PAUJIL,2022-10-12T00:00:00.000,2022-12-12T00:00:00.000,0,Inversión
SECOP I,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE QUIPILE,Cundinamarca,Quipile,224260835081,224260835081,0,2.0,0.0,0.0,Liquidado,MANTENIMIENTO DE INFRAESTRUCTURA PUBLICA; ESCUELA INSPECCION LA VIRGEN; COLISEO CASCO URBANO; CASA DE LA CULTURAL INSPECCION DE SANTA MARTA Y CASA DE GOBIERNO DE PROPIEDAD DEL MUNICIPIO DE QUIPILE CUNDINAMARCA.-,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-11122691,CONSORCIO NAPRO,2020-10-23T00:00:00.000,2020-12-23T00:00:00.000,0,Inversión
SECOP I,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,223921530700,224023982713,93,195.0,0.04575353369536429,47.69230769230769,Liquidado,CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑOS; NIÑAS Y ADOLECENTES ENTRE LOS 6 T 17; 11 Y 29 DIAS AÑOS FORTALECIENDO EN ELLOS Y SUS FAMILIAS HABLIDADES; CAPACIDADES Y CONOCIMIENTOS PARA EL EJERCICIO DE SUS DERECHOS; LA PREVENCION DE RIESGOS Y VULNERACIONES Y LA POTENCIACION DE SUS VOCACIONES; INTERES Y TALENTOS EN LA CONSTRUCCION DE SU PROYECTO DE VIDA A TRAVES DE LA IMPLEMENTACION DEL PORGRAMA GENERACIONES.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-10471,ALDEAS INFANTILES SOS COLOMBIA,2019-11-18T00:00:00.000,2020-09-01T00:00:00.000,0,Inversión
SECOP II,INVIAS,Distrito Capital de Bogotá,Bogotá,219638263398,0,0,,,,terminado,CULMINACIÓN DE LA CONSTRUCCIÓN DE LOS TÚNELES CORTOS; LA VÍA A CIELO ABIERTO Y LOS PUENTES EN EL SECTOR COMPRENDIDO ENTRE EL KM7+895 Y EL INTERCAMBIADOR AMÉRICAS SEGUNDA CALZADA QUINDÍO  PROYECTO CRUCE DE LA CORDILLERA CENTRAL.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.641219&isFromPublicArea=True&isModal=true&asPopupView=true,Consorcio Vía Américas,2019-05-08T00:00:00.000,2022-02-28T00:00:00.000,0,Inversión
SECOP II,INVIAS,Distrito Capital de Bogotá,Bogotá,216931654901,0,0,,,,terminado,CULMINACIÓN DE LA CONSTRUCCIÓN DE LOS TÚNELES CORTOS; LA VÍA A CIELO ABIERTO Y LOS PUENTES ENE L SECTOR COMPRENDIDO ENTRE EL INTERCAMBIADOR BERMELLÓN  Y EL TÚNEL 16 (KM38+815) - SEGUNDA CALZADA TOLIMA - PROYECTO CRUCE DE LA CORDILLERA CENTRAL.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.640921&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO LA LÍNEA 042,2019-05-07T00:00:00.000,2022-04-15T00:00:00.000,0,Inversión
SECOP II,INVIAS,Distrito Capital de Bogotá,Bogotá,210402215770,0,0,,,,terminado,OPERACIÓN Y MANTENIMIENTO INTEGRAL DE LOS TÚNELES Y VÍA A CIELO ABIERTO EN EL CORREDOR ARMENIA - TÚNEL DE LA LÍNEA - CAJAMARCA; Y DE LA VÍA A CIELO ABIERTO EN EL CORREDOR CAJAMARCA - ALTO DE LA LÍNEA - ARMENIA.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1907831&isFromPublicArea=True&isModal=true&asPopupView=true,Consorcio La Linea 2021,2021-06-30T00:00:00.000,2023-04-30T00:00:00.000,0,Inversión
SECOP II,INVIAS,Distrito Capital de Bogotá,Bogotá,197098318687,0,0,,,,terminado,CONSTRUCCIÓN; MEJORAMIENTO; GESTIÓN SOCIAL; AMBIENTAL Y PREDIAL DE LA SEGUNDA CALZADA BUGA - BUENAVENTURA SECTOR LOBOGUERRERO - CALIMA; INCLUYE GESTIÓN VIAL INTEGRAL DE LA CARRETERA BUGA - BUENAVENTURA; EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1256943&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO ISLA 2020,2020-09-10T00:00:00.000,2023-02-15T00:00:00.000,0,Inversión
SECOP II,INVIAS,Distrito Capital de Bogotá,Bogotá,156382864302,0,0,,,,terminado,MEJORAMIENTO A TRAVÉS DE LA CONSTRUCCIÓN; GESTIÓN PREDIAL; SOCIAL Y AMBIENTAL SOSTENIBLE DE LA SEGUNDA CALZADA VALLEDUPAR PUENTE RAFAEL ESCALONA-LA PAZ Y EL MANTENIMIENTO Y REHABILITACIÓN DE LA CARRETERA LA PAZ-CUESTECITAS; EN LOS DEPARTAMENTOS DEL CESAR Y LA GUAJIRA EN MARCO DEL PROGRAMA DE OBRA PÚBLICA CONCLUIR Y CONCLUIR PARA LA REACTIVACIÓN DE LAS REGIONES MÓDULO 1,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1515949&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO MP CARIBE,2021-03-25T00:00:00.000,2023-01-31T00:00:00.000,0,Inversión
SECOP I,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE LA CALERA,Cundinamarca,La Calera,146705345619,146705345619,0,9.0,0.0,0.0,Liquidado,PAVIMENTACION EN VIAS URBANAS DEL MUNICIPIO DE LA CALERA CUNDINAMARCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-213121,INCITECO SAS,2021-04-20T00:00:00.000,2022-01-20T00:00:00.000,0,Inversión
SECOP I,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE LA CALERA,Cundinamarca,La Calera,146705345619,146705345619,0,9.0,0.0,0.0,Liquidado,PAVIMENTACION EN VIAS URBANAS DEL MUNICIPIO DE LA CALERA CUNDINAMARCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-213121,INCITECO SAS,2021-04-20T00:00:00.000,2022-01-20T00:00:00.000,0,Inversión
