fuente,entidad,departamento,municipio,valor_inicial,valor_final,adiciones_dias,plazo_dias,sobrecosto_pct,retraso_pct,estado,objeto,url,contratista,fecha_inicio,fecha_fin,postconflicto,destino_gasto
SECOP I,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN VICENTE,Antioquia,San Vicente,677217243027,677217243027,25,138.0,0.0,18.115942028985508,Liquidado,MANTENIMIENTO Y MEJORAMIENTO DE ViAS RURALES EN EL MUNICIPIO DE SAN VICENTE; DEPARTAMENTO DE ANTIOQUIA DEL PROGRAMA COLOMBIA RURAL,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24130,AFA INGENIERIA Y CONSTRUCCION SAS,2021-09-06T00:00:00.000,2022-05-17T00:00:00.000,0,Inversión
SECOP I,CAQUETÁ - ALCALDÍA MUNICIPIO DE EL PAUJIL,Caquetá,El Paujil,278937178000,278937178000,0,3.0,0.0,0.0,Liquidado,REPOSICION DE TRAMO DE CONDUCCION A PUNTO DE VERTIMIENTO DE ALCANTARILLADO EN EL CENTRO POBLADO VERSALLES DEL MUNICIPIO DE EL PAUJIL,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-11-13283110,CONSORCIO ALCANTARILLADO VERSALLES,2022-09-23T00:00:00.000,2022-12-23T00:00:00.000,0,Inversión
SECOP I,CAQUETÁ - ALCALDÍA MUNICIPIO DE EL PAUJIL,Caquetá,El Paujil,278067943000,278067943000,0,2.0,0.0,0.0,Liquidado,MEJORAMIENTO DE TRAMOS DE ALCANTARILLADO; CUNETAS PARA EL MANEJO DE AGUAS LLUVIAS EN EL CASCO URBANO DEL MUNICIPIO DE EL PAUJIL CAQUETA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-11-13310399,CONSORCIO ALCANTARILLADO EL PAUJIL,2022-10-12T00:00:00.000,2022-12-12T00:00:00.000,0,Inversión
SECOP I,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE QUIPILE,Cundinamarca,Quipile,224260835081,224260835081,0,2.0,0.0,0.0,Liquidado,MANTENIMIENTO DE INFRAESTRUCTURA PUBLICA; ESCUELA INSPECCION LA VIRGEN; COLISEO CASCO URBANO; CASA DE LA CULTURAL INSPECCION DE SANTA MARTA Y CASA DE GOBIERNO DE PROPIEDAD DEL MUNICIPIO DE QUIPILE CUNDINAMARCA.-,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-11122691,CONSORCIO NAPRO,2020-10-23T00:00:00.000,2020-12-23T00:00:00.000,0,Inversión
SECOP I,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,223921530700,224023982713,93,195.0,0.0457535336953642,47.69230769230769,Liquidado,CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑOS; NIÑAS Y ADOLECENTES ENTRE LOS 6 T 17; 11 Y 29 DIAS AÑOS FORTALECIENDO EN ELLOS Y SUS FAMILIAS HABLIDADES; CAPACIDADES Y CONOCIMIENTOS PARA EL EJERCICIO DE SUS DERECHOS; LA PREVENCION DE RIESGOS Y VULNERACIONES Y LA POTENCIACION DE SUS VOCACIONES; INTERES Y TALENTOS EN LA CONSTRUCCION DE SU PROYECTO DE VIDA A TRAVES DE LA IMPLEMENTACION DEL PORGRAMA GENERACIONES.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-10471,ALDEAS INFANTILES SOS COLOMBIA,2019-11-18T00:00:00.000,2020-09-01T00:00:00.000,0,Inversión
SECOP I,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE LA CALERA,Cundinamarca,La Calera,146705345619,146705345619,0,9.0,0.0,0.0,Liquidado,PAVIMENTACION EN VIAS URBANAS DEL MUNICIPIO DE LA CALERA CUNDINAMARCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-213121,INCITECO SAS,2021-04-20T00:00:00.000,2022-01-20T00:00:00.000,0,Inversión
SECOP I,ANTIOQUIA - ÁREA METROPOLITANA DEL VALLE DE ABURRÁ - MEDELLÍN,Antioquia,Medellín,105418335674,110474175646,26,20.0,4.795977796153875,130.0,Liquidado,CONSTRUCCION DEL INTERCAMBIO VIAL DE LA AYURA EN LOS MUNICIPIOS DE MEDELLIN; ENVIGADO E ITAGÜI,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7462,CONSORCIO ABURRA SUR,2019-06-26T00:00:00.000,2021-05-26T00:00:00.000,0,Inversión
SECOP I,VALLE DEL CAUCA - METROCALI,Valle del Cauca,Cali,72453426569,72453426569,0,21.0,0.0,0.0,Liquidado,CONSTRUCCIoN DE LA FASE 1 DE LA TERMINAL AGUABLANCA; CONEXIoN VIAL ASOCIADA Y DEMaS OBRAS COMPLEMENTARIAS DEL SISTEMA INTEGRADO DE TRANSPORTE MASIVO DE PASAJEROS DE SANTIAGO DE CALI,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4313,COSRCIO AGUABLANCA CMV,2018-11-20T00:00:00.000,2020-08-20T00:00:00.000,0,Inversión
SECOP I,GUAVIARE - GOBERNACIÓN,Guaviare,San José del Guaviare,57117955372,57117955372,0,13.0,0.0,0.0,Liquidado,PAVIMENTACIoN DE LA ViA 7506 QUE COMUNICA A LOS MUNICIPIOS: SAN JOSe DEL GUAVIARE Y EL RETORNO  ETAPA - 2; GUAVIARE,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24351,CONSORCIO VIA NACIONAL II ETAPA,2021-11-12T00:00:00.000,2023-02-12T00:00:00.000,0,Inversión
SECOP I,ANTIOQUIA - DISTRITO ESPECIAL DE CIENCIA; TECNOLOGICA E INNOVACION DE MEDELLIN,Antioquia,Medellín,48018456195,48018456195,0,6.0,0.0,0.0,Liquidado,OBRAS DE FRESADO; REPAVIMENTACIoN DE ViAS Y OBRAS COMPLEMENTARIAS EN LA CIUDAD,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-1193,PROCOPAL S.A,2018-06-08T00:00:00.000,2018-12-08T00:00:00.000,0,Inversión
