departamento,ciudad,valor_inicial,valor_final,dias_adicionados,destino_gasto,estado_contrato,objeto,url,contratista,fecha_inicio,fecha_fin
Distrito Capital de Bogotá,Bogotá,4914810000000,0,0,Inversión,Cancelado,AUNAR ESFUERZOS PARA EL MEJORAMIENTO DE VIAS RURALES EN EL MUNICIPIO DE JERICO DEPARTAMENTO DE ANTIOQUIA DEL PROGRAMA COLOMBIA RURAL-NACIONAL.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2400132&isFromPublicArea=True&isModal=true&asPopupView=true,MUNICIPIO DE JERICO - ANTIOQUIA,,2023-12-31
Chocó,Quibdó,1743532755900,0,0,Inversión,enviado Proveedor,MANTENIMIENTO DE LA INFRAESTRUCTURA DE LOS ESTABLECIMIENTOS EDUCATIVOS PARA EL RETORNO A LAS AULAS; EN MEDIO DE UN PROCESO GRADUAL; PROGRESIVO Y SEGURO TENIENDO EN CUENTA LAS MEDIDAS DE BIOSEGURIDAD A TRAVÉS DE LA EMERGENCIA SANITARIA EN EL MUNICIPIO DE QUIBDÓ.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1831303&isFromPublicArea=True&isModal=true&asPopupView=true,MALCAM CONSTRUCTORES S.A.S.,,2021-04-08
Distrito Capital de Bogotá,Bogotá,1151851315885,0,0,Inversión,Cancelado,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1629797&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO CM PUTUMAYO,,
Distrito Capital de Bogotá,Bogotá,1107012659144,0,0,Inversión,Borrador,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.999906&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO EUCARÍSTICO CARRERA 68,,
Magdalena,Sitionuevo,998049859557,0,0,Inversión,Modificado,"ADECUACION DE CANCHA DE FUTBOL SAMUEL MEJIA; EN EL
MUNICIPIO DE SITIONUEVO; MAGDALENA",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8008524&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO K&G SAMUEL MEJIA,2025-08-20,2025-12-31
Magdalena,Santa Marta,893052000000,0,0,Inversión,Modificado,Ejecutar la gerencia integral del proyecto de inversión denominado CONSTRUCCIÓN DEL SISTEMA DE ACUEDUCTO DENOMINADO 'EL CURVAL' PARA EL DISTRITO DE SANTA MARTA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9361628&isFromPublicArea=True&isModal=true&asPopupView=true,Empresa Distrital de Desarrollo y Renovación Urbano Sostenible de Santa Marta- EDUS,2026-04-10,2037-12-31
Distrito Capital de Bogotá,Bogotá,657176378088,0,0,Inversión,Modificado,MEJORAMIENTO MEDIANTE LA CONSTRUCCIÓN Y MANTENIMIENTO CONEXIÓN PUENTE PUMAREJO (BARRANQUILLA) - CIÉNAGA (VIADUCTOS) EN LOS DEPARTAMENTOS DEL ATLÁNTICO Y MAGDALENA; EN MARCO DE LA REACTIVACIÓN ECONÓMICA; MEDIANTE EL PROGRAMA DE OBRA PÚBLICA VÍAS PARA LA LEGALIDAD Y LA REACTIVACIÓN VISIÓN 2030,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2482557&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO VIADUCTO CIÉNAGA DEL MAGDALENA,2022-07-27,2028-07-31
Antioquia,Medellín,652271356282,0,122,Inversión,Modificado,CONSTRUCCIÓN; GESTIÓN PREDIAL; SOCIAL; AMBIENTAL SOSTENIBLE DE LAS VÍAS DE ACCESO AL PROYECTO TÚNEL GUILLERMO GAVIRIA ECHEVERRI SECTOR 01 (TÚNEL DEL TOYO) EN EL DEPARTAMENTO DE ANTIOQUIA; EN MARCO DE LA REACTIVACION ECONOMICA; MEDIANTE EL PROGRAMA DE OBRA PUBLICA VIAS PARA LA LEGALIDAD Y LA REACTIVACION VISION 2030 MODULO 1,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7238000&isFromPublicArea=True&isModal=true&asPopupView=true,CONSTRUCCIONES EL CONDOR S.A,2024-12-27,2026-12-31
Distrito Capital de Bogotá,Bogotá,650399558495,0,0,Inversión,Aprobado,CONSTRUCCIÓN; GESTIÓN SOCIAL; AMBIENTAL; PREDIAL Y DE SOSTENIBILIDAD DE LA VARIANTE ORIENTAL DE CHACHAGÜÍ EN EL DEPARTAMENTO DE NARIÑO; EN EL MARCO DEL PROGRAMA VÍAS PARA LA PAZ.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9329728&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO VARIANTE ORIENTAL 057,,2035-12-31
Distrito Capital de Bogotá,Bogotá,634275135745,0,0,Inversión,En ejecución,La construcción de las obras Lado Aire de la Etapa I del Aeropuerto del Café; ubicado en el municipio de Palestina; departamento de Caldas; incluyendo la ejecución de obras conexas indispensables para su operación inicial.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8653415&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO AEROPUERTO DEL CAFE SK,2026-04-13,2030-03-12
Distrito Capital de Bogotá,Bogotá,615960225346,0,0,Inversión,Borrador,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.999906&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO INFRAESTRUCTURA AV. 68,,
Distrito Capital de Bogotá,Bogotá,610461362068,0,0,Inversión,Modificado,CONSTRUCCIÓN; MEJORAMIENTO Y MANTENIMIENTO; GESTIÓN PREDIAL; SOCIAL Y AMBIENTAL SOSTENIBLE DE LA VARIANTE SAN FRANCISCO MOCOA TRAMO 2 (FRENTE SAN FRANCISCO); DEPARTAMENTO DE PUTUMAYO; EN MARCO DE LA REACTIVACIÓN ECONÓMICA; MEDIANTE EL PROGRAMA DE OBRA PÚBLICA VIAS PARA LA LEGALIDAD Y REACTIVACIÓN VISIÓN 2030. MODULO 1.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1629797&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO SAN FRANCISCO,2021-07-02,2030-08-31
Cesar,Valledupar,607492792932,484519476265,150,Inversión,Modificado,MEJORAMIENTO DE VIAS SECUNDARIAS Y TERCIARIAS; EN EL MARCO DEL PACTO FUNCIONAL CESAR - GUAJIRA; EN EL DEPARTAMENTO DEL CESAR: GRUPO 1 - NORTE/CENTRO Y GRUPO 2 - SUR,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2952272&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO INFRAESTRUCTURA VIAL DEL CESAR,2022-11-16,2026-07-28
Distrito Capital de Bogotá,Bogotá,593383681529,0,0,Inversión,Modificado,MEJORAMIENTO MEDIANTE LA CONSTRUCCIÓN Y MANTENIMIENTO; GESTION PREDIAL; SOCIAL Y AMBIENTAL SOSTENIBLE DE LA RUTA DE LOS COMUNEROS (ZIPAQUIRÁ - BARBOSA - BUCARAMANGA; GIRÓN - PIEDECUESTA) EN LOS DEPARTAMENTOS DE CUNDINAMARCA; BOYACÁ Y SANTANDER; EN MARCO DE LA REACTIVACIÓN ECONÓMICA; MEDIANTE EL PROGRAMA DE OBRA PÚBLICA VÍAS PARA LA LEGALIDAD Y LA REACTIVACIÓN VISIÓN 2030 MÓDULO 1.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1630207&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO VIAL MHC 063,2021-06-21,2030-08-31
Distrito Capital de Bogotá,Bogotá,556028077752,0,0,Inversión,Modificado,CONSTRUCCIÓN DELCORREDOR VERDE DE LA CARRERA 7 DESDE LA CALLE 127 HASTA LACALLE 183 (NO INCLUYE INTERSECCIÓN) Y DEMÁS OBRASCOMPLEMENTARIAS EN LA CIUDAD DE BOGOTÁ D.C.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4797668&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO THC CORREDOR VERDE 99,2024-02-19,2031-10-22
