id_contrato,sobrecosto,tfidf_demoras,valor_inicial,suma_impacto,tfidf_ejecucion,prop_tipo_regulatorio,prop_tipo_operacional,tfidf_desarrollo,tfidf_municipio,prop_tipo_social,prob_std,n_riesgos,tfidf_proceso,prop_asig_contratista,imp_promedio,tfidf_disenos,val_std,prop_asig_edu,tfidf_ley,tfidf_contrato,tfidf_obra,tfidf_otras,prop_cate_medio,tfidf_ejecucion contrato,tfidf_construccion,tfidf_precios,tfidf_calidad,tfidf_demora,prop_cate_bajo,tfidf_condiciones,prop_fuen_interno,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio
C-001,28.56,0.0,16147899764,43.0,0.22044694281961483,0.0,0.6666666666666666,0.129142415620527,0.0,0.08333333333333333,0.2763853991962833,12,0.0,0.9166666666666666,3.5833333333333335,0.0,1.2909944487358056,0.0,0.0,0.2764491646322631,0.07800377030103353,0.0,0.25,0.2903414718020363,0.0,0.0,0.2296568801703419,0.13273753329259885,0.08333333333333333,0.0893249958762517,0.0,2018,2019,1,7.1,3118.82
C-002,4.8,0.0,105418335674,69.0,0.05394187860216379,0.10526315789473684,0.631578947368421,0.18960166333065104,0.0,0.05263157894736842,0.8486587103472158,19,0.0,0.5263157894736842,3.6315789473684212,0.08663019105342692,1.6825649855942928,0.0,0.10024538728693315,0.10146786628698222,0.11452197578985973,0.10323957941140156,0.3684210526315789,0.07104459796448344,0.07335794055571933,0.0,0.0,0.0,0.21052631578947367,0.0,0.5789473684210527,2019,2021,2,11.4,3572.51
C-003,53.1,0.0,46952850500,13.0,0.25663032298998784,0.0,1.0,0.0,0.12984785188171705,0.0,0.6959705453537527,8,0.0,0.5,1.625,0.20607304089918652,1.3228756555322954,0.0,0.0,0.0,0.13621054919666975,0.0,0.125,0.0,0.17450144921296282,0.0,0.2005139601206018,0.0,0.75,0.0,0.0,2019,2022,3,26.01,3743.24
C-004,26.33,0.0,43371238623,14.0,0.1651032573120584,0.0,0.8,0.0,0.08353768584658472,0.0,0.45825756949558394,10,0.0,0.0,1.4,0.13257720249210034,0.48989794855663565,0.0,0.0,0.1552844994520932,0.08763113061082782,0.0,0.0,0.0,0.11226560187846123,0.2233252602639023,0.0,0.0,1.0,0.10034964143700827,0.0,2018,2022,4,30.02,3585.91
C-005,37.28,0.27622083734784025,40110983232,111.0,0.2205324582984492,0.0625,0.6875,0.0,0.0,0.03125,0.582961190818051,32,0.05066705533612124,0.875,3.46875,0.059028870489721885,0.75,0.0,0.0,0.17284775276060516,0.23410208825319032,0.2110389815046325,0.1875,0.09681803355722735,0.04998530327360945,0.04971683523789399,0.0,0.06639451232817105,0.03125,0.044679823353703255,0.03125,2019,2020,1,5.47,3487.23
C-006,49.78,0.0,37715126875,52.0,0.31850492958821724,0.045454545454545456,0.5454545454545454,0.31986313520003823,0.0920883960107441,0.045454545454545456,0.6680426571226848,22,0.12544475584322312,0.5,2.3636363636363638,0.07307373792655929,2.6613238487826267,0.0,0.0,0.25676855304807006,0.19320167124043144,0.0,0.0,0.05992707934295921,0.0,0.0615460698904,0.07110248147227324,0.16438380586920628,0.2727272727272727,0.055310590822197137,0.09090909090909091,2020,2022,2,21.4,3897.3
C-007,18.33,0.18947260802623275,34224873099,101.0,0.23531414856003002,0.0625,0.5,0.0,0.0,0.09375,0.7064159097160821,32,0.04633982580855622,0.90625,3.15625,0.05398749854364324,0.9137619698258403,0.0,0.0,0.1897027889509084,0.2497933138661787,0.06433838567528935,0.28125,0.1328239063945667,0.0,0.04547075943910711,0.0,0.060724076335615586,0.0625,0.04086393451587891,0.21875,2020,2021,1,7.32,3718.23
C-008,0.007,0.0,32658182171,27.0,0.36851144735074787,0.0,1.0,0.3885870413750367,0.14916528732790132,0.0,0.6324555320336759,10,0.0,0.6,2.7,0.0,1.8681541692269406,0.0,0.0,0.13863836868116808,0.31294912335586045,0.0,0.0,0.0,0.0,0.0,0.11517218822337827,0.0,0.0,0.08959239741027118,0.1,2018,2020,2,8.83,3310.33
C-009,50.0,0.0,31595665637,64.0,0.1765652208863978,0.0,0.7142857142857143,0.0,0.07146969814635377,0.02857142857142857,0.5598833697790121,35,0.048678765308889656,0.37142857142857144,1.8285714285714285,0.17013733168164738,1.01418510567422,0.0,0.0,0.16606481539107754,0.299887189333034,0.0,0.3142857142857143,0.046509337299502816,0.048023766741680574,0.047765833999845964,0.05518255402870947,0.06378904126123706,0.6571428571428571,0.04292648587231021,0.0,2019,2021,2,11.4,3572.51
C-010,1.82,0.0,31074451269,43.0,0.3533579535774325,0.05,0.2,0.0,0.0,0.2,0.8602325267042626,20,0.0,0.65,2.15,0.10317996744212561,1.452583904633395,0.0,0.05969810103564277,0.24170444535799346,0.17050022615842703,0.12296240274753235,0.1,0.21154228150072657,0.0436860973415866,0.3041602337152323,0.0,0.0,0.6,0.11714766047635276,0.05,2018,2020,2,8.83,3310.33
