id_contrato,anio,ipc,constancia,fecha_ini_ejec_contrato,fecha_fin_ejec_contrato
C-001,2018,3.18,18-1-185635,2018-04-18T00:00:00.000,2019-01-13T00:00:00.000
C-002,2019,3.8,18-21-7462,2019-06-26T00:00:00.000,2021-05-26T00:00:00.000
C-003,2019,3.8,18-21-6363,2019-02-04T00:00:00.000,2022-06-04T00:00:00.000
C-004,2018,3.18,18-21-4526,2018-10-16T00:00:00.000,2022-03-16T00:00:00.000
C-004,2018,3.18,18-21-4526,2018-10-16T00:00:00.000,2022-03-16T00:00:00.000
C-004,2018,3.18,18-21-4526,2018-10-16T00:00:00.000,2022-03-16T00:00:00.000
C-005,2019,3.8,18-21-7012,2019-01-30T00:00:00.000,2020-11-08T00:00:00.000
C-006,2020,1.61,20-21-17703,2020-10-15T00:00:00.000,2022-03-15T00:00:00.000
C-007,2020,1.61,19-1-204765,2020-03-16T00:00:00.000,2021-09-16T00:00:00.000
C-007,2020,1.61,19-1-204765,2020-03-16T00:00:00.000,2021-09-16T00:00:00.000
C-008,2018,3.18,18-21-1496,2018-07-20T00:00:00.000,2020-10-20T00:00:00.000
C-009,2019,3.8,18-21-6540,2019-05-20T00:00:00.000,2021-12-20T00:00:00.000
C-010,2018,3.18,18-21-5472,2018-12-12T00:00:00.000,2020-11-12T00:00:00.000
C-011,2019,3.8,18-21-6581,2019-04-30T00:00:00.000,2022-02-28T00:00:00.000
C-012,2018,3.18,18-1-192082,2018-12-10T00:00:00.000,2020-05-10T00:00:00.000
C-013,2019,3.8,19-21-8302,2019-05-14T00:00:00.000,2020-10-14T00:00:00.000
C-014,2019,3.8,19-21-8465,2019-09-05T00:00:00.000,2021-05-05T00:00:00.000
C-015,2019,3.8,18-21-7466,2019-02-25T00:00:00.000,2021-08-01T00:00:00.000
C-016,2019,3.8,18-21-6646,2019-03-26T00:00:00.000,2021-06-26T00:00:00.000
C-016,2019,3.8,18-21-6646,2019-03-26T00:00:00.000,2021-06-26T00:00:00.000
C-017,2019,3.8,18-21-6250,2019-09-27T00:00:00.000,2022-01-27T00:00:00.000
C-018,2019,3.8,19-21-13305,2019-11-22T00:00:00.000,2021-09-22T00:00:00.000
C-019,2018,3.18,18-21-3929,2018-11-02T00:00:00.000,2021-01-02T00:00:00.000
C-020,2020,1.61,19-21-13461,2020-08-18T00:00:00.000,2021-12-18T00:00:00.000
C-020,2020,1.61,19-21-13461,2020-08-18T00:00:00.000,2021-12-18T00:00:00.000
C-021,2020,1.61,19-21-15812,2020-02-03T00:00:00.000,2021-09-03T00:00:00.000
C-022,2019,3.8,18-21-7327,2019-03-19T00:00:00.000,2021-06-19T00:00:00.000
C-023,2021,5.62,20-21-20772,2021-07-08T00:00:00.000,2023-02-08T00:00:00.000
C-024,2019,3.8,19-11-9434044,2019-09-10T00:00:00.000,2021-04-10T00:00:00.000
C-025,2019,3.8,19-4-9190818,2019-04-09T00:00:00.000,2020-08-04T00:00:00.000
C-026,2022,13.12,22-21-30876,2022-09-16T00:00:00.000,2024-04-16T00:00:00.000
C-027,2020,1.61,20-21-17381,2020-08-27T00:00:00.000,2021-08-27T00:00:00.000
