anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio,id_contrato
2018,2019,1,7.1,3118.82,C-001
2019,2021,2,11.4,3572.51,C-002
2019,2022,3,26.01,3743.24,C-003
2018,2022,4,30.02,3585.91,C-004
2019,2020,1,5.47,3487.23,C-005
2020,2022,2,21.4,3897.3,C-006
2020,2021,1,7.32,3718.23,C-007
2018,2020,2,8.83,3310.33,C-008
2019,2021,2,11.4,3572.51,C-009
2018,2020,2,8.83,3310.33,C-010
2019,2022,3,26.01,3743.24,C-011
2018,2020,2,8.83,3310.33,C-012
2019,2020,1,5.47,3487.23,C-013
2019,2021,2,11.4,3572.51,C-014
2019,2021,2,11.4,3572.51,C-015
2019,2021,2,11.4,3572.51,C-016
2019,2022,3,26.01,3743.24,C-017
2019,2021,2,11.4,3572.51,C-018
2018,2021,3,14.94,3418.52,C-019
2020,2021,1,7.32,3718.23,C-020
2020,2021,1,7.32,3718.23,C-021
2019,2021,2,11.4,3572.51,C-022
2021,2023,2,30.56,4107.86,C-023
2019,2021,2,11.4,3572.51,C-024
2019,2020,1,5.47,3487.23,C-025
2022,2024,2,30.05,4217.26,C-026
2020,2021,1,7.32,3718.23,C-027
2019,2021,2,11.4,3572.51,C-028
2019,2021,2,11.4,3572.51,C-029
2018,2019,1,7.1,3118.82,C-030
2018,2019,1,7.1,3118.82,C-031
2018,2019,1,7.1,3118.82,C-032
2019,2020,1,5.47,3487.23,C-033
2021,2022,1,19.48,3999.26,C-034
2019,2021,2,11.4,3572.51,C-035
2018,2019,1,7.1,3118.82,C-036
2018,2020,2,8.83,3310.33,C-037
2018,2020,2,8.83,3310.33,C-038
2019,2020,1,5.47,3487.23,C-039
2018,2020,2,8.83,3310.33,C-040
2018,2023,5,42.09,3709.1,C-041
2021,2022,1,19.48,3999.26,C-042
2021,2022,1,19.48,3999.26,C-043
2022,2023,1,23.62,4290.24,C-044
2020,2021,1,7.32,3718.23,C-045
2020,2021,1,7.32,3718.23,C-046
2019,2020,1,5.47,3487.23,C-047
2020,2021,1,7.32,3718.23,C-048
2018,2019,1,7.1,3118.82,C-049
2018,2020,2,8.83,3310.33,C-050
2018,2019,1,7.1,3118.82,C-051
2019,2019,0,3.8,3281.09,C-052
2019,2019,0,3.8,3281.09,C-053
2019,2020,1,5.47,3487.23,C-054
2021,2022,1,19.48,3999.26,C-055
2018,2020,2,8.83,3310.33,C-056
2020,2022,2,21.4,3897.3,C-057
2019,2021,2,11.4,3572.51,C-058
2019,2021,2,11.4,3572.51,C-059
2019,2020,1,5.47,3487.23,C-060
2018,2020,2,8.83,3310.33,C-061
2018,2019,1,7.1,3118.82,C-062
2021,2024,3,37.35,4098.72,C-063
2019,2021,2,11.4,3572.51,C-064
2019,2022,3,26.01,3743.24,C-065
2019,2020,1,5.47,3487.23,C-066
2018,2019,1,7.1,3118.82,C-067
2022,2023,1,23.62,4290.24,C-068
2018,2021,3,14.94,3418.52,C-069
2021,2022,1,19.48,3999.26,C-070
2019,2020,1,5.47,3487.23,C-071
2018,2019,1,7.1,3118.82,C-072
2018,2019,1,7.1,3118.82,C-073
2018,2019,1,7.1,3118.82,C-074
2019,2019,0,3.8,3281.09,C-075
2021,2022,1,19.48,3999.26,C-076
2019,2020,1,5.47,3487.23,C-077
2018,2019,1,7.1,3118.82,C-078
2018,2019,1,7.1,3118.82,C-079
2018,2020,2,8.83,3310.33,C-080
2018,2019,1,7.1,3118.82,C-081
2019,2020,1,5.47,3487.23,C-082
2021,2022,1,19.48,3999.26,C-083
2019,2020,1,5.47,3487.23,C-084
2019,2021,2,11.4,3572.51,C-085
2021,2023,2,30.56,4107.86,C-086
2018,2020,2,8.83,3310.33,C-087
2020,2021,1,7.32,3718.23,C-088
2019,2020,1,5.47,3487.23,C-089
2022,2023,1,23.62,4290.24,C-090
2018,2019,1,7.1,3118.82,C-091
2019,2020,1,5.47,3487.23,C-092
2018,2019,1,7.1,3118.82,C-093
2018,2019,1,7.1,3118.82,C-094
2019,2021,2,11.4,3572.51,C-095
2020,2021,1,7.32,3718.23,C-096
2018,2019,1,7.1,3118.82,C-097
2022,2022,0,13.12,4255.44,C-098
2022,2023,1,23.62,4290.24,C-099
2018,2021,3,14.94,3418.52,C-100
2020,2021,1,7.32,3718.23,C-101
2021,2023,2,30.56,4107.86,C-102
2019,2021,2,11.4,3572.51,C-103
2018,2019,1,7.1,3118.82,C-104
2019,2020,1,5.47,3487.23,C-105
2019,2021,2,11.4,3572.51,C-106
2019,2020,1,5.47,3487.23,C-107
2020,2021,1,7.32,3718.23,C-108
2021,2021,0,5.62,3743.09,C-109
2019,2022,3,26.01,3743.24,C-110
