id_contrato,valor_inicial,n_riesgos,prob_promedio,prob_std,imp_promedio,imp_std,val_promedio,val_std,interaccion_prob_x_impacto,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio,sobrecosto,tfidf_desarrollo,tfidf_insumos,tfidf_expedicion,tfidf_materiales,tfidf_obra,tfidf_ejecucion,tfidf_contrato,prop_tipo_operacional,prop_cate_bajo,tfidf_riesgo,tfidf_tecnicas,tfidf_municipio,tfidf_obras,tfidf_informacion,prop_fuen_externo,tfidf_cuando,tfidf_disenos,tfidf_ejecucion contrato,tfidf_calidad,tfidf_manejo,prop_cate_alto,tfidf_pago,prop_tipo_economico,prop_asig_entidad,tfidf_falta,svr_pred,abs_error,rmse_heuristic,bucket
C-001,16147899764,12,2.0833333333333335,0.288675134594813,3.5833333333333335,0.792961461098759,7.0,1.348399724926484,7.465277777777779,2018,2019,1,7.1,3118.82,28.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.83,10.73,16.0,11-20
C-002,105418335674,19,1.736842105263158,0.8719139396343282,3.6315789473684212,0.9551338658818386,5.894736842105263,1.7286711930171252,6.307479224376732,2019,2021,2,11.4,3572.51,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,17.3,16.0,11-20
C-003,46952850500,8,2.375,0.7440238091428449,1.625,0.7440238091428449,4.0,1.4142135623730951,3.859375,2019,2022,3,26.01,3743.24,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25,25.85,12.0,1-10
C-004,43371238623,10,1.3,0.48304589153964794,1.4,0.5163977794943222,2.4,0.5163977794943223,1.8199999999999998,2018,2022,4,30.02,3585.91,26.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.05,0.2799999999999976,12.0,1-10
C-005,40110983232,32,2.1875,0.5922891621605981,3.46875,0.7613390156652907,6.0,0.7620007620011431,7.587890625,2019,2020,1,5.47,3487.23,37.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,16.580000000000002,24.0,>30
C-006,37715126875,22,2.909090909090909,0.6837634587578277,2.3636363636363638,0.7895420339517227,6.909090909090909,2.7239518020540348,6.87603305785124,2020,2022,2,21.4,3897.3,49.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79,22.990000000000002,20.0,21-30
C-007,34224873099,32,2.46875,0.7177192819911804,3.15625,0.9873187869663853,5.90625,0.9283830897266077,7.7919921875,2020,2021,1,7.32,3718.23,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34,3.0100000000000016,24.0,>30
C-008,32658182171,10,3.0,0.6666666666666666,2.7,0.674948557710553,7.9,1.9692073983655904,8.100000000000001,2018,2020,2,8.83,3310.33,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.18,24.173,12.0,1-10
C-009,31595665637,35,2.1714285714285713,0.5680572819973814,1.8285714285714285,0.7065123239304084,4.0,1.0289915108550531,3.970612244897959,2019,2021,2,11.4,3572.51,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.57,27.43,24.0,>30
C-010,31074451269,20,2.4,0.8825799501580879,2.15,0.8750939799154206,4.7,1.4903196407411894,5.159999999999999,2018,2020,2,8.83,3310.33,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.56,20.74,16.0,11-20
C-011,29644842809,34,2.2058823529411766,0.5918339122415547,1.6470588235294117,0.6458423178030693,3.8529411764705883,1.0189820512047119,3.633217993079585,2019,2022,3,26.01,3743.24,53.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.72,26.740000000000002,24.0,>30
C-012,28827446286,12,2.5,0.5222329678670935,2.3333333333333335,0.4923659639173309,4.833333333333333,0.7177405625652735,5.833333333333334,2018,2020,2,8.83,3310.33,17.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.95,4.34,16.0,11-20
C-013,28393419604,16,1.3125,0.704154339142587,2.25,0.7745966692414832,2.6875,1.3022416570411703,2.953125,2019,2020,1,5.47,3487.23,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.68,5.07,16.0,11-20
C-014,28109635150,20,1.75,0.8506963092234007,3.6,0.9403246919632545,5.3,1.417930292993797,6.3,2019,2021,2,11.4,3572.51,23.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.74,2.780000000000001,16.0,11-20
C-015,26787663741,25,2.52,0.714142842854285,2.72,0.8906926143924925,5.24,1.2675435561221031,6.854400000000001,2019,2021,2,11.4,3572.51,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99,12.919999999999998,20.0,21-30
C-016,25111685227,21,2.761904761904762,0.5389584311207966,3.5238095238095237,0.6796357567879738,6.285714285714286,1.0555973258234952,9.732426303854876,2019,2021,2,11.4,3572.51,48.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.77,24.320000000000004,20.0,21-30
