fila_secop1_lite,url,entidad,municipio,departamento,tipo_documento,n_documentos,nombres_pdf
480,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9587254,CASANARE - EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE YOPAL,Yopal,Casanare,ESTUDIOS_PREVIOS,0,
481,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11415,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CALI,Cali,Valle del Cauca,ESTUDIOS_PREVIOS,0,
482,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14590,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,ESTUDIOS_PREVIOS,0,
483,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21705,VAUPÉS - ALCALDÍA MUNICIPIO DE MITÚ,Mitú,Vaupés,ESTUDIOS_PREVIOS,0,
484,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-207573,SANTANDER - ALCALDÍA MUNICIPIO DE EL GUACAMAYO,El Guacamayo,Santander,ESTUDIOS_PREVIOS,0,
485,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11670334,ANTIOQUIA - EMPRESA DE SERVICIOS PÚBLICOS DE FRONTINO,Frontino,Antioquia,SIN_DOCUMENTO,0,
486,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-203823,SANTANDER - ALCALDÍA MUNICIPIO DE BARRANCABERMEJA,Barrancabermeja,Santander,SIN_DOCUMENTO,0,
487,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10185,HUILA - GOBERNACIÓN,Neiva,Huila,SIN_DOCUMENTO,0,
488,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-30043,HUILA - ALCALDÍA MUNICIPIO DE GARZÓN,Garzón,Huila,SIN_DOCUMENTO,0,
489,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-29054,BOYACÁ - ALCALDÍA MUNICIPIO DE SABOYÁ,Saboyá,Boyacá,SIN_DOCUMENTO,0,
