fila,url,entidad,municipio,departamento,tipo
487,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10185,HUILA - GOBERNACIÓN,Neiva,Huila,BLOQUEADA
488,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-30043,HUILA - ALCALDÍA MUNICIPIO DE GARZÓN,Garzón,Huila,BLOQUEADA
493,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-200755,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,BLOQUEADA
494,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-11-12548092,SANTANDER - ALCALDÍA MUNICIPIO DE SAN VICENTE CHUCURÍ,San Vicente de Chucurí,Santander,BLOQUEADA
499,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-221118,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SANTUARIO,El Santuario,Antioquia,BLOQUEADA
500,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-193038,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ITAGÜÍ,Itagüí,Antioquia,BLOQUEADA
506,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3869,CASANARE - GOBERNACIÓN,Yopal,Casanare,BLOQUEADA
507,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11525,CAUCA - ALCALDÍA MUNICIPIO DE TOTORO,Totoró,Cauca,BLOQUEADA
508,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6916,NORTE DE SANTANDER - GOBERNACIÓN,San José de Cúcuta,Norte De Santander,BLOQUEADA
509,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6941,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE TOCANCIPÁ,Tocancipá,Cundinamarca,BLOQUEADA
510,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3496,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SIBATÉ,Sibaté,Cundinamarca,BLOQUEADA
515,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-217785,TOLIMA - ALCALDÍA MUNICIPIO DE PURIFICACIÓN,Purificación,Tolima,BLOQUEADA
516,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-11-12668037,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE VILLAGÓMEZ,Villagómez,Cundinamarca,BLOQUEADA
517,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-11390780,CORPOCALDAS - CORPORACIÓN AUTÓNOMA REGIONAL DE CALDAS,Manizales,Caldas,BLOQUEADA
518,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-33289,SANTANDER - ALCALDÍA MUNICIPIO DE CABRERA,Cabrera,Santander,BLOQUEADA
531,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34453,CASANARE - ALCALDÍA MUNICIPIO DE TRINIDAD,Trinidad,Casanare,BLOQUEADA
539,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9053,BOYACÁ - ALCALDÍA MUNICIPIO DE SOGAMOSO,Sogamoso,Boyacá,BLOQUEADA
540,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-26013,CORPORACIÓN AUTÓNOMA REGIONAL DEL GUAVIO,Gachalá,Cundinamarca,BLOQUEADA
541,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7247,BOYACÁ - EMPRESAS PUBLICAS DE BOYACÁ S.A E.S.P,Tunja,Boyacá,BLOQUEADA
542,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15660,META - ALCALDÍA MUNICIPIO DE SAN MARTÍN DE LOS LLANOS,San Martín,Meta,BLOQUEADA
548,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31692,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SASAIMA,Sasaima,Cundinamarca,BLOQUEADA
549,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-11-13650972,META - ALCALDÍA MUNICIPIO DE SAN MARTÍN DE LOS LLANOS,San Martín,Meta,BLOQUEADA
550,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4150,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
551,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9521325,ANTIOQUIA - TERMINALES DE TRANSPORTE DE MEDELLÍN S.A.,Medellín,Antioquia,BLOQUEADA
552,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8636,BOYACÁ - ALCALDÍA MUNICIPIO DE RAMIRIQUÍ,Ramiriquí,Boyacá,BLOQUEADA
553,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-219479,GUAINÍA - ALCALDÍA MUNICIPIO DE INÍRIDA,Inírida,Guainía,BLOQUEADA
554,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9082783,CAR - CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA,Bogotá D.C.,Bogotá D.C.,BLOQUEADA
555,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-35938,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE UBAQUE,Ubaque,Cundinamarca,BLOQUEADA
556,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-204738,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN JERÓNIMO,San Jerónimo,Antioquia,BLOQUEADA
557,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-194510,LA GUAJIRA - ALCALDÍA MUNICIPIO DE SAN JUAN DEL CESAR,San Juan del Cesar,La Guajira,BLOQUEADA
558,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6592,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
579,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6456,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
584,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-30440,SANTANDER - ALCALDÍA MUNICIPIO DE SAN VICENTE CHUCURÍ,San Vicente de Chucurí,Santander,BLOQUEADA
585,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10290,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Sabana de Torres,Santander,BLOQUEADA
586,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-186225,BOYACÁ - ALCALDÍA MUNICIPIO DE DUITAMA,Duitama,Boyacá,BLOQUEADA
587,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4564,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
588,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-32657,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE EL ROSAL,El Rosal,Cundinamarca,BLOQUEADA
589,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11891812,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,Neiva,Huila,BLOQUEADA
590,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11799036,ANTIOQUIA - EMPRESA DE DESARROLLO SOSTENIBLE DEL ORIENTE EDESO - RIONEGRO,Rionegro,Antioquia,BLOQUEADA
591,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8397207,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
603,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9266628,ANTIOQUIA - EMPRESA DE SERVICIOS PÚBLICOS DE SAN JOSÉ DE LA MARINILLA E.S.P.,Marinilla,Antioquia,BLOQUEADA
604,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10770330,SANTANDER - E.S.P. AGUAS DE BARRANCABERMEJA S.A. - BARRANCABERMEJA,Barrancabermeja,Santander,BLOQUEADA
605,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7426,CASANARE - ALCALDÍA MUNICIPIO DE SABANALARGA,Sabanalarga,Casanare,BLOQUEADA
618,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10204,SUCRE - ALCALDÍA MUNICIPIO DE SINCELEJO,Sincelejo,Sucre,BLOQUEADA
619,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13866,HUILA - GOBERNACIÓN,Neiva,Huila,BLOQUEADA
620,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11988929,SANTANDER - E.S.P. AGUAS DE BARRANCABERMEJA S.A. - BARRANCABERMEJA,Barrancabermeja,Santander,BLOQUEADA
621,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-187110,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE FACATATIVÁ,Facatativá,Cundinamarca,BLOQUEADA
622,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4145,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,BLOQUEADA
623,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-26997,ANTIOQUIA - ALCALDÍA MUNICIPIO DE PUERTO NARE,Puerto Nare,Antioquia,BLOQUEADA
624,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11904538,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,Neiva,Huila,BLOQUEADA
633,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6655,ANTIOQUIA - ALCALDÍA MUNICIPIO DE CIUDAD BOLÍVAR,Ciudad Bolívar,Antioquia,BLOQUEADA
634,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24718,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,BLOQUEADA
635,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5137,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TIBÚ,Tibú,Norte De Santander,BLOQUEADA
