fila,url,entidad,municipio,departamento,tipo
480,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9587254,CASANARE - EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE YOPAL,Yopal,Casanare,ESTUDIOS_PREVIOS
502,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-11156604,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAJICÁ,Cajicá,Cundinamarca,ESTUDIOS_PREVIOS
522,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-219659,HUILA - ALCALDÍA MUNICIPIO DE GARZÓN,Garzón,Huila,ESTUDIOS_PREVIOS
524,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15784,CASANARE - ALCALDÍA MUNICIPIO DE SABANALARGA,Sabanalarga,Casanare,ESTUDIOS_PREVIOS
525,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-7705,META - ALCALDÍA MUNICIPIO DE GUAMAL,Guamal,Meta,ESTUDIOS_PREVIOS
544,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6980,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE TOCANCIPÁ,Tocancipá,Cundinamarca,ESTUDIOS_PREVIOS
547,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-191428,NARIÑO - ALCALDÍA MUNICIPIO DE LA LLANADA,La Llanada,Nariño,ESTUDIOS_PREVIOS
576,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-214517,SUCRE - ALCALDÍA MUNICIPIO DE MORROA,Morroa,Sucre,ESTUDIOS_PREVIOS
594,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-11091140,CUNDINAMARCA - EMPRESAS PÚBLICAS DE NILO,Nilo,Cundinamarca,ESTUDIOS_PREVIOS
598,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5873,CVC - CORPORACIÓN AUTÓNOMA REGIONAL DEL VALLE DEL CAUCA,Cali,Valle del Cauca,ESTUDIOS_PREVIOS
600,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21064,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE UBATÉ,Villa de San Diego de Ubate,Cundinamarca,ESTUDIOS_PREVIOS
607,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11512,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE YUMBO,Yumbo,Valle del Cauca,ESTUDIOS_PREVIOS
608,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9790569,VALLE DEL CAUCA - E.S.E. RED DE SALUD DEL CENTRO - CALI,Cali,Valle del Cauca,ESTUDIOS_PREVIOS
610,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5975,META - ALCALDÍA MUNICIPIO DE PUERTO GAITÁN,Puerto Gaitán,Meta,ESTUDIOS_PREVIOS
628,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-17812,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS
629,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8697,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PASCA,Pasca,Cundinamarca,ESTUDIOS_PREVIOS
648,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-185428,ANTIOQUIA - ALCALDÍA MUNICIPIO DE GIRARDOTA,Girardota,Antioquia,ESTUDIOS_PREVIOS
649,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-193670,ANTIOQUIA - ALCALDÍA MUNICIPIO DE REMEDIOS,Remedios,Antioquia,ESTUDIOS_PREVIOS
