fila_secop1_lite,url,entidad,municipio,departamento,tipo_documento
480,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9587254,CASANARE - EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE YOPAL,Yopal,Casanare,ESTUDIOS_PREVIOS
481,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11415,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CALI,Cali,Valle del Cauca,ESTUDIOS_PREVIOS
482,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14590,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,ESTUDIOS_PREVIOS
483,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21705,VAUPÉS - ALCALDÍA MUNICIPIO DE MITÚ,Mitú,Vaupés,ESTUDIOS_PREVIOS
484,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-207573,SANTANDER - ALCALDÍA MUNICIPIO DE EL GUACAMAYO,El Guacamayo,Santander,ESTUDIOS_PREVIOS
494,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-11-12548092,SANTANDER - ALCALDÍA MUNICIPIO DE SAN VICENTE CHUCURÍ,San Vicente de Chucurí,Santander,ESTUDIOS_PREVIOS
495,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-210253,RISARALDA - AEROPUERTO INTERNACIONAL MATECAÑA DE PEREIRA,Pereira,Risaralda,ESTUDIOS_PREVIOS
496,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25466,BOYACÁ - ALCALDÍA MUNICIPIO DE MIRAFLORES,Miraflores,Boyacá,ESTUDIOS_PREVIOS
507,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11525,CAUCA - ALCALDÍA MUNICIPIO DE TOTORO,Totoró,Cauca,ESTUDIOS_PREVIOS
508,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6916,NORTE DE SANTANDER - GOBERNACIÓN,San José de Cúcuta,Norte De Santander,ESTUDIOS_PREVIOS
509,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6941,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE TOCANCIPÁ,Tocancipá,Cundinamarca,ESTUDIOS_PREVIOS
510,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3496,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SIBATÉ,Sibaté,Cundinamarca,ESTUDIOS_PREVIOS
520,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8814427,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE TOCANCIPÁ,Tocancipá,Cundinamarca,ESTUDIOS_PREVIOS
521,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21774,ANTIOQUIA - ALCALDÍA MUNICIPIO DE TURBO,Turbo,Antioquia,ESTUDIOS_PREVIOS
522,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-219659,HUILA - ALCALDÍA MUNICIPIO DE GARZÓN,Garzón,Huila,ESTUDIOS_PREVIOS
523,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22758,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,ESTUDIOS_PREVIOS
