fila,url,entidad,municipio,departamento,tipo
481,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11415,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CALI,Cali,Valle del Cauca,MATRIZ_RIESGO
482,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14590,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,MATRIZ_RIESGO
483,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21705,VAUPÉS - ALCALDÍA MUNICIPIO DE MITÚ,Mitú,Vaupés,MATRIZ_RIESGO
504,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-200641,CASANARE - ALCALDÍA MUNICIPIO DE VILLANUEVA,Villanueva,Casanare,MATRIZ_RIESGO
523,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22758,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,MATRIZ_RIESGO
535,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31927,TOLIMA - ALCALDÍA MUNICIPIO DE PURIFICACIÓN,Purificación,Tolima,MATRIZ_RIESGO
536,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25255,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBASOSA,Tibasosa,Boyacá,MATRIZ_RIESGO
537,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-36510,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,MATRIZ_RIESGO
538,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-16655,META - ALCALDÍA MUNICIPIO DE RESTREPO,Restrepo,Meta,MATRIZ_RIESGO
546,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-218779,META - ALCALDÍA MUNICIPIO DE LA URIBE,Uribe,Meta,MATRIZ_RIESGO
562,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-221074,SANTANDER - ALCALDÍA MUNICIPIO DE ONZAGA,Onzaga,Santander,MATRIZ_RIESGO
563,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-29640,SANTANDER - ALCALDÍA MUNICIPIO DE ARATOCA,Aratoca,Santander,MATRIZ_RIESGO
564,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-17217,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBASOSA,Tibasosa,Boyacá,MATRIZ_RIESGO
574,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13001,SANTANDER - GOBERNACIÓN,Bucaramanga,Santander,MATRIZ_RIESGO
575,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24781,ANTIOQUIA - ALCALDÍA MUNICIPIO DE PUERTO NARE,Puerto Nare,Antioquia,MATRIZ_RIESGO
577,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34927,NARIÑO - ALCALDÍA MUNICIPIO DE POLICARPA,Policarpa,Nariño,MATRIZ
595,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10842994,ANTIOQUIA - EMPRESA DE DESARROLLO URBANO EDU - MEDELLIN,Medellín,Antioquia,MATRIZ_RIESGO
627,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13808,META - ALCALDÍA MUNICIPIO DE ACACIAS,Acacías,Meta,MATRIZ_RIESGO
630,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9903,ANTIOQUIA - ALCALDÍA MUNICIPIO DE BARBOSA,Barbosa,Antioquia,MATRIZ_RIESGO
647,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-35659,BOYACÁ - ALCALDÍA MUNICIPIO DE PAUNA,Pauna,Boyacá,MATRIZ
652,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11886064,ANTIOQUIA - EMPRESA DE DESARROLLO SOSTENIBLE DEL ORIENTE EDESO - RIONEGRO,Rionegro,Antioquia,MATRIZ_RIESGO
653,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10668,ANTIOQUIA - DISTRITO ESPECIAL DE CIENCIA; TECNOLOGICA E INNOVACION DE MEDELLIN,Medellín,Antioquia,MATRIZ_RIESGO
654,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-2611,VALLE DEL CAUCA - VALLECAUCANA DE AGUAS S.A E.S.P,Cali,Valle del Cauca,MATRIZ_RIESGO
674,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8353523,SANTANDER - E.S.P. AGUAS DE BARRANCABERMEJA S.A. - BARRANCABERMEJA,Barrancabermeja,Santander,MATRIZ_RIESGO
702,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10942545,ANTIOQUIA - EMPRESA DE DESARROLLO URBANO EDU - MEDELLIN,Medellín,Antioquia,MATRIZ_RIESGO
724,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-187491,ANTIOQUIA - GOBERNACIÓN,Medellín,Antioquia,MATRIZ_RIESGO
727,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-40580,META - ALCALDÍA MUNICIPIO DE MESETAS,Mesetas,Meta,MATRIZ_RIESGO
743,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-39538,SANTANDER - ALCALDÍA MUNICIPIO DE FLORIÁN,Florián,Santander,MATRIZ_RIESGO
746,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10778,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,MATRIZ_RIESGO
748,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-37589,BOYACÁ - ALCALDÍA MUNICIPIO DE MONGUI,Monguí,Boyacá,MATRIZ_RIESGO
756,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-10627308,CASANARE - GOBERNACIÓN,Yopal,Casanare,MATRIZ_RIESGO
758,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-23642,NORTE DE SANTANDER - ÁREA METROPOLITANA DE CÚCUTA,San José de Cúcuta,Norte De Santander,MATRIZ_RIESGO
777,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-10799838,CALDAS - ALCALDÍA MUNICIPIO DE MARQUETALIA,Marquetalia,Caldas,MATRIZ_RIESGO
790,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21055,SANTANDER - ALCALDÍA MUNICIPIO DE GUAPOTA,Guapotá,Santander,MATRIZ_RIESGO
791,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-223445,CAUCA - RESGUARDO INDÍGENA TOTORÓ,Totoró,Cauca,MATRIZ_RIESGO
792,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-37759,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PUERTO SALGAR,Puerto Salgar,Cundinamarca,MATRIZ_RIESGO
811,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-218051,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE AGUA DE DIOS,Agua de Dios,Cundinamarca,MATRIZ
838,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15059,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SONSÓN,Sonsón,Antioquia,MATRIZ
858,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-27085,BOYACÁ - ALCALDÍA MUNICIPIO DE COPER,Coper,Boyacá,MATRIZ_RIESGO
859,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21632,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN LUIS,San Luis,Antioquia,MATRIZ_RIESGO
866,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-225212,CALDAS - ALCALDÍA MUNICIPIO DE MANZANARES,Manzanares,Caldas,MATRIZ_RIESGO
886,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-18413,META - ALCALDÍA MUNICIPIO DE PUERTO CONCORDIA,Puerto Concordia,Meta,MATRIZ_RIESGO
903,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21624,META - ALCALDÍA MUNICIPIO DE BARRANCA DE UPIA,Barranca de Upía,Meta,MATRIZ_RIESGO
906,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10580942,SANTANDER - E.S.P. AGUAS DE BARRANCABERMEJA S.A. - BARRANCABERMEJA,Barrancabermeja,Santander,MATRIZ_RIESGO
907,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-224061,NARIÑO - ALCALDÍA MUNICIPIO DE FUNES,Funes,Nariño,MATRIZ_RIESGO
922,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-7956784,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE ANAPOIMA,Anapoima,Cundinamarca,MATRIZ_RIESGO
924,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-200588,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ENVIGADO,Envigado,Antioquia,MATRIZ_RIESGO
925,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7888300,SANTANDER - E.S.P. AGUAS DE BARRANCABERMEJA S.A. - BARRANCABERMEJA,Barrancabermeja,Santander,MATRIZ_RIESGO
926,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31891,GUAVIARE - ALCALDÍA MUNICIPIO DE SAN JOSÉ DEL GUAVIARE,San José del Guaviare,Guaviare,MATRIZ_RIESGO
945,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12759,CASANARE - ALCALDÍA MUNICIPIO DE AGUAZUL,Aguazul,Casanare,MATRIZ_RIESGO
953,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12755,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SASAIMA,Sasaima,Cundinamarca,MATRIZ_RIESGO
956,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-38530,CASANARE - ALCALDÍA MUNICIPIO DE SABANALARGA,Sabanalarga,Casanare,MATRIZ_RIESGO
973,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-196408,VALLE DEL CAUCA - VALLECAUCANA DE AGUAS S.A E.S.P,Cali,Valle del Cauca,MATRIZ_RIESGO
975,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28810,NARIÑO - ALCALDÍA MUNICIPIO DE TANGUA,Tangua,Nariño,MATRIZ_RIESGO
976,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3548,INSTITUTO NACIONAL DE SALUD (INS),Bogotá D.C.,Bogotá D.C.,MATRIZ_RIESGO
979,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-19934,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE GUASCA,Guasca,Cundinamarca,MATRIZ_RIESGO
1017,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-205799,META - ALCALDÍA MUNICIPIO DE GRANADA,Granada,Meta,MATRIZ
1023,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10102,ANTIOQUIA - DISTRITO ESPECIAL DE CIENCIA; TECNOLOGICA E INNOVACION DE MEDELLIN,Medellín,Antioquia,MATRIZ_RIESGO
1032,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-218920,HUILA - ALCALDÍA MUNICIPIO DE OPORAPA,Oporapa,Huila,MATRIZ_RIESGO
1054,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25973,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Sabana de Torres,Santander,MATRIZ_RIESGO
1055,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-17537,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE TRUJILLO,Trujillo,Valle del Cauca,MATRIZ_RIESGO
