fila_secop1_lite,url,entidad,municipio,departamento,tipo_documento
536,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25255,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBASOSA,Tibasosa,Boyacá,MATRIZ_RIESGOS
548,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31692,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SASAIMA,Sasaima,Cundinamarca,MATRIZ_RIESGOS
562,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-221074,SANTANDER - ALCALDÍA MUNICIPIO DE ONZAGA,Onzaga,Santander,MATRIZ_RIESGOS
573,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3643,BOGOTÁ D.C. - SECRETARÍA DISTRITAL DE MOVILIDAD,Bogotá D.C.,Bogotá D.C.,MATRIZ_RIESGOS
574,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13001,SANTANDER - GOBERNACIÓN,Bucaramanga,Santander,MATRIZ_RIESGOS
575,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24781,ANTIOQUIA - ALCALDÍA MUNICIPIO DE PUERTO NARE,Puerto Nare,Antioquia,MATRIZ_RIESGOS
652,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11886064,ANTIOQUIA - EMPRESA DE DESARROLLO SOSTENIBLE DEL ORIENTE EDESO - RIONEGRO,Rionegro,Antioquia,MATRIZ_RIESGOS
685,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-211957,GUAINÍA - ALCALDÍA MUNICIPIO DE INÍRIDA,Inírida,Guainía,MATRIZ_RIESGOS
741,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4662,BOYACÁ - ALCALDÍA MUNICIPIO DE NOBSA,Nobsa,Boyacá,MATRIZ_RIESGOS
743,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-39538,SANTANDER - ALCALDÍA MUNICIPIO DE FLORIÁN,Florián,Santander,MATRIZ_RIESGOS
807,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31271,SANTANDER - ALCALDÍA MUNICIPIO DE BETULIA,Betulia,Santander,MATRIZ_RIESGOS
808,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8395831,ANTIOQUIA - EMPRESA DE DESARROLLO URBANO EDU - MEDELLIN,Medellín,Antioquia,MATRIZ_RIESGOS
948,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-188167,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ENVIGADO,Envigado,Antioquia,MATRIZ_RIESGOS
950,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9933,BOYACÁ - ALCALDÍA MUNICIPIO DE NOBSA,Nobsa,Boyacá,MATRIZ_RIESGOS
1060,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-198781,SANTANDER - ALCALDÍA MUNICIPIO DE GIRÓN,Girón,Santander,MATRIZ_RIESGOS
1061,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11075,CASANARE - ALCALDÍA MUNICIPIO DE AGUAZUL,Aguazul,Casanare,MATRIZ_RIESGOS
1224,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21899,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CACHIPAY,Cachipay,Cundinamarca,MATRIZ_RIESGOS
1226,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24459,BOYACÁ - ALCALDÍA MUNICIPIO DE ALMEIDA,Almeida,Boyacá,MATRIZ_RIESGOS
1227,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6732,BOYACÁ - ALCALDÍA MUNICIPIO DE NOBSA,Nobsa,Boyacá,MATRIZ_RIESGOS
1397,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21606,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SASAIMA,Sasaima,Cundinamarca,MATRIZ_RIESGOS
