fila,url,entidad,municipio,departamento,tipo,pass,body_len,timestamp
480,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9587254,CASANARE - EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE YOPAL,Yopal,Casanare,ESTUDIOS_PREVIOS,1,5915,2026-07-19T17:56:52.397174
481,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11415,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CALI,Cali,Valle del Cauca,MATRIZ_RIESGO,1,11996,2026-07-19T17:56:55.618150
482,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14590,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,MATRIZ_RIESGO,1,16760,2026-07-19T17:56:58.858171
483,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21705,VAUPÉS - ALCALDÍA MUNICIPIO DE MITÚ,Mitú,Vaupés,MATRIZ_RIESGO,1,17411,2026-07-19T17:57:02.012304
501,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8397378,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4849,2026-07-19T17:57:44.757773
502,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-11156604,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAJICÁ,Cajicá,Cundinamarca,ESTUDIOS_PREVIOS,1,5685,2026-07-19T17:57:48.003930
503,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10791788,VALLE DEL CAUCA - EMPRESAS PÚBLICAS MUNICIPALES DE CARTAGO,Cartago,Valle del Cauca,SIN_DOCUMENTO,1,5585,2026-07-19T17:57:51.189891
504,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-200641,CASANARE - ALCALDÍA MUNICIPIO DE VILLANUEVA,Villanueva,Casanare,MATRIZ_RIESGO,1,17381,2026-07-19T17:57:54.454171
522,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-219659,HUILA - ALCALDÍA MUNICIPIO DE GARZÓN,Garzón,Huila,ESTUDIOS_PREVIOS,1,8664,2026-07-19T17:58:37.891499
523,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22758,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,MATRIZ_RIESGO,1,7414,2026-07-19T17:58:41.555832
524,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15784,CASANARE - ALCALDÍA MUNICIPIO DE SABANALARGA,Sabanalarga,Casanare,ESTUDIOS_PREVIOS,1,9389,2026-07-19T17:58:45.371426
525,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-7705,META - ALCALDÍA MUNICIPIO DE GUAMAL,Guamal,Meta,ESTUDIOS_PREVIOS,1,10154,2026-07-19T17:58:48.969199
535,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31927,TOLIMA - ALCALDÍA MUNICIPIO DE PURIFICACIÓN,Purificación,Tolima,MATRIZ_RIESGO,1,12720,2026-07-19T17:59:13.980326
536,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25255,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBASOSA,Tibasosa,Boyacá,MATRIZ_RIESGO,1,11064,2026-07-19T17:59:17.111825
537,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-36510,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,MATRIZ_RIESGO,1,8869,2026-07-19T17:59:20.441907
538,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-16655,META - ALCALDÍA MUNICIPIO DE RESTREPO,Restrepo,Meta,MATRIZ_RIESGO,1,18199,2026-07-19T17:59:23.669516
544,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6980,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE TOCANCIPÁ,Tocancipá,Cundinamarca,ESTUDIOS_PREVIOS,1,8894,2026-07-19T17:59:39.042102
545,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7966123,VALLE DEL CAUCA - EMPRESAS PÚBLICAS MUNICIPALES DE CARTAGO,Cartago,Valle del Cauca,SIN_DOCUMENTO,1,6117,2026-07-19T17:59:42.825805
546,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-218779,META - ALCALDÍA MUNICIPIO DE LA URIBE,Uribe,Meta,MATRIZ_RIESGO,1,16432,2026-07-19T17:59:46.651475
547,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-191428,NARIÑO - ALCALDÍA MUNICIPIO DE LA LLANADA,La Llanada,Nariño,ESTUDIOS_PREVIOS,1,13051,2026-07-19T17:59:50.208563
561,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11644492,TOLIMA - EMPRESA IBAGUEREÑA DE ACUEDUCTO Y ALCANTARILLADO IBAL S.A. E.S.P.,Ibagué,Tolima,SIN_DOCUMENTO,1,14886,2026-07-19T18:00:25.353739
562,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-221074,SANTANDER - ALCALDÍA MUNICIPIO DE ONZAGA,Onzaga,Santander,MATRIZ_RIESGO,1,8602,2026-07-19T18:00:28.651896
